iter	Passed	Remaining
613	52168	32796
614	52231	32697
615	52320	32615
616	52378	32513
617	52435	32411
618	52486	32305
619	52567	32218
620	52637	32124
621	52692	32022
622	52756	31924
623	52842	31841
624	52897	31738
625	52962	31641
626	53023	31543
627	53109	31459
628	53174	31363
629	53224	31259
630	53294	31165
631	53376	31079
632	53438	30982
633	53506	30888
634	53569	30791
635	53654	30707
636	53722	30614
637	53785	30517
638	53855	30425
639	53945	30344
640	54012	30250
641	54077	30155
642	54165	30073
643	54230	29978
644	54308	29890
645	54410	29816
646	54474	29720
647	54562	29638
648	54640	29551
649	54705	29456
650	54769	29361
651	54884	29294
652	54953	29201
653	55004	29100
654	55067	29005
655	55155	28922
656	55214	28825
657	55270	28727
658	55329	28630
659	55400	28539
660	55463	28445
661	55515	28344
662	55582	28252
663	55679	28175
664	55744	28081
665	55808	27988
666	55870	27893
667	55946	27805
668	56009	27711
669	56074	27619
670	56126	27519
671	56209	27435
672	56269	27340
673	56329	27245
674	56386	27148
675	56474	27067
676	56535	26973
677	56607	26884
678	56661	26786
679	56747	26704
680	56810	26611
681	56869	26516
682	56929	26422
683	57007	26336
684	57071	26244
685	57136	26152
686	57191	26056
687	57286	25978
688	57354	25888
689	57411	25793
690	57477	25702
691	57563	25620
692	57620	25525
693	57694	25438
694	57763	25349
695	57859	25272
696	57923	25180
697	57990	25090
698	58045	24995
699	58154	24923
700	58223	24834
701	58565	24861
702	58699	24799
703	58767	24709
704	58862	24630
705	58926	24538
706	58983	24444
707	59046	24352
708	59145	24275
709	59211	24184
710	59274	24093
711	59328	23998
712	59422	23919
713	59493	23830
714	59557	23739
715	59614	23645
716	59697	23562
717	59756	23469
718	59830	23382
719	59896	23293
720	59984	23211
721	60045	23120
722	60111	23030
723	60165	22936
724	60248	22852
725	60318	22764
726	60380	22673
727	60430	22578
728	60523	22499
729	60582	22407
730	60639	22314
731	60704	22225
732	60784	22141
733	60845	22050
734	60909	21960
735	60958	21865
736	61046	21784
737	61100	21691
738	61167	21603
739	61230	21513
740	61317	21432
741	61373	21340
742	61432	21249
743	61492	21158
744	61648	21101
745	61710	21011
746	61778	20923
747	61838	20833
748	61913	20748
749	61977	20659
750	62039	20569
751	62106	20481
752	62201	20403
753	62269	20316
754	62328	20225
755	62395	20138
756	62500	20062
757	62561	19973
758	62623	19884
759	62695	19798
760	62782	19717
761	62844	19628
762	62910	19540
763	62964	19449
764	63046	19367
765	63100	19276
766	63158	19186
767	63211	19095
768	63302	19015
769	63364	18926
770	63417	18835
771	63480	18748
772	63542	18660
773	63606	18572
774	63679	18487
775	63730	18396
776	63813	18314
777	63872	18225
778	63926	18135
779	63985	18047
780	64076	17967
781	64130	17877
782	64190	17789
783	64253	17702
784	64333	17620
785	64393	17531
786	64445	17441
787	64504	17354
788	64586	17272
789	64651	17185
790	64710	17097
791	64788	17015
792	64886	16937
793	64942	16849
794	65011	16763
795	65076	16677
796	65170	16599
797	65226	16511
798	65294	16425
799	65349	16337
800	65432	16256
801	65506	16172
802	65560	16084
803	65628	15998
804	65728	15921
805	65789	15835
806	65858	15750
807	65922	15664
808	66021	15587
809	66078	15499
810	66142	15414
811	66207	15328
812	66320	15254
813	66389	15170
814	66450	15083
815	66507	14996
816	66621	14922
817	66698	14840
818	66768	14755
819	66831	14670
820	66933	14593
821	67000	14508
822	67056	14421
823	67135	14339
824	67195	14253
825	67247	14165
826	67328	14084
827	67392	13999
828	67457	13914
829	67515	13828
830	67605	13748
831	67660	13662
832	67724	13577
833	67783	13491
834	67870	13411
835	67935	13327
836	67997	13242
837	68055	13156
838	68129	13073
839	68183	12987
840	68258	12904
841	68320	12820
842	68398	12738
843	68594	12678
844	68808	12621
845	68899	12542
846	68957	12456
847	69029	12373
848	69111	12291
849	69167	12206
850	69235	12122
851	69326	12042
852	69382	11956
853	69451	11873
854	69537	11792
855	69615	11710
856	69689	11628
857	69815	11554
858	69871	11469
859	69966	11389
860	70033	11306
861	70094	11221
862	70164	11138
863	70259	11059
864	70325	10975
865	70383	10890
866	70452	10807
867	70548	10728
868	70613	10644
869	70679	10561
870	70743	10477
871	70818	10395
872	70886	10312
873	70952	10228
874	71007	10143
875	71085	10062
876	71150	9978
877	71203	9893
878	71274	9811
879	71351	9729
880	71416	9646
881	71478	9562
882	71533	9478
883	71613	9397
884	71674	9313
885	71740	9230
886	71787	9145
887	71868	9064
888	71942	8982
889	71995	8898
890	72056	8814
891	72193	8740
892	72254	8657
893	72310	8573
894	72369	8490
895	72445	8408
896	72512	8326
897	72583	8244
898	72648	8161
899	72734	8081
900	72799	7999
901	72865	7916
902	72928	7833
903	73023	7754
904	73080	7671
905	73140	7588
906	73207	7506
907	73291	7426
908	73351	7343
909	73423	7261
910	73475	7178
911	73585	7100
912	73647	7017
913	73715	6936
914	73768	6852
915	73865	6773
916	73940	6692
917	74002	6610
918	74058	6527
919	74181	6450
920	74257	6369
921	74328	6288
922	74395	6206
923	74489	6126
924	74559	6045
925	74658	5966
926	74739	5885
927	74799	5803
928	74864	5721
929	74953	5641
930	75010	5559
931	75081	5478
932	75169	5397
933	75227	5315
934	75289	5234
935	75365	5153
936	75423	5071
937	75495	4990
938	75569	4909
939	75627	4827
940	75692	4745
941	75771	4665
942	75835	4583
943	75922	4503
944	75998	4423
945	76069	4342
946	76133	4260
947	76195	4179
948	76300	4100
949	76369	4019
950	76446	3938
951	76514	3857
952	76617	3778
953	76664	3696
954	76771	3617
955	76856	3537
956	76935	3456
957	77018	3376
958	77120	3297
959	77205	3216
960	77307	3137
961	77375	3056
962	77448	2975
963	77523	2895
964	77630	2815
965	77703	2734
966	77795	2654
967	77860	2573
968	77940	2493
969	78019	2412
970	78170	2334
971	78407	2258
972	78620	2181
973	78719	2101
974	78798	2020
975	78909	1940
976	78985	1859
977	79062	1778
978	79147	1697
979	79247	1617
980	79322	1536
981	79419	1455
982	79491	1374
983	79559	1293
984	79639	1212
985	79750	1132
986	79828	1051
987	79914	970
988	79985	889
989	80070	808
990	80158	727
991	80243	647
992	80314	566
993	80403	485
994	80488	404
995	80559	323
996	80625	242
997	80736	161
998	80817	80
999	80938	0
